Location,Google maps location name,Google maps adress,Place id,rating,rating total,Type
Indiana State Fair Midway,Indiana State Fair Midway,"Indianapolis, IN 46205, United States",ChIJ_baJVnlRa4gRk7IukEv77ek,4.5,539,amusement_park
Go Ape,Go Ape Zipline and Adventure Park,"5855 Delong Rd, Indianapolis, IN 46254, United States",ChIJm3VuksqrbIgRlAITWELHemE,4.7,338,point_of_interest
Greatimes Family Fun Park,Greatimes Family Fun Park,"5341 Elmwood Ave, Indianapolis, IN 46203, United States",ChIJeT3aIt5Ea4gRk8CggqzgHGE,4.2,1779,amusement_park
Adrenaline Family Adventure Park,Adrenaline Family Adventure Park,"10080 E 121st St Suite 182, Fishers, IN 46037, United States",ChIJbR9UrkO0FIgRXRISOkA2tcA,4.4,1341,amusement_park
Forest Park Carousel and Mini Golf Course,Forest Park Carousel and Mini Golf Course,"701 Cicero Rd, Noblesville, IN 46060, United States",ChIJgeMAppuxFIgRS1dY8ZJJMZ8,4.6,11,amusement_park
Sky Zone Trampoline Park,Sky Zone Trampoline Park,"851 Columbia Rd Ste 172, Plainfield, IN 46168, United States",ChIJ5URlLx6kbIgRz8qR-WelG2g,4.4,830,amusement_park
Urban Air Trampoline and Adventure Park,Urban Air Trampoline and Adventure Park,"3603 IN-46, Bloomington, IN 47404, United States",ChIJw4-qwyFebIgRCAPqyRGm-Ko,4.3,453,amusement_park
Sky Zone Trampoline Park,Sky Zone Trampoline Park,"851 Columbia Rd Ste 172, Plainfield, IN 46168, United States",ChIJ5URlLx6kbIgRz8qR-WelG2g,4.4,830,amusement_park
Carson Park Waterpark,Carson Park Waterpark,"6220 Valley Ln, Indianapolis, IN 46221, United States",ChIJ70_nMd6nbIgR0ir0uSDQsBQ,3.3,4,amusement_park
Splash Pad,Switchyard Park,"1601 S Rogers St, Bloomington, IN 47403, United States",ChIJt_Oa791nbIgRt4R_t40_qco,4.8,500,park
Kings Island,Kings Island,"6300 Kings Island Dr, Mason, OH 45040, United States",ChIJA5CMtAFYQIgRZZfh5Sb0-WQ,4.6,24613,amusement_park
Splash Pad at Mulberry Fields,Mulberry Fields,"9645 Whitestown Rd, Zionsville, IN 46077, United States",ChIJQcQU96dVE4gR2Di0V2a8vLQ,4.7,214,park
Kentucky Kingdom & Hurricane Bay,Kentucky Kingdom & Hurricane Bay,"937 Phillips Ln, Louisville, KY 40209, United States",ChIJ_1RVeQkNaYgRdTKMwSIptb8,4.3,9141,amusement_park
Holiday World & Splashin' Safari,Holiday World & Splashin' Safari,"452 E Christmas Blvd, Santa Claus, IN 47579, United States",ChIJIYxGkxFYbogRm-AWpO-B11A,4.6,12522,tourist_attraction
Coney Island Park,Coney Island Park,"6201 Kellogg Ave, Cincinnati, OH 45230, United States",ChIJm-dMvsuvQYgR3RiDov2wfDw,4.5,6673,amusement_park
Arsenal Park,Arsenal Park,"1400 E 46th St, Indianapolis, IN 46205, United States",ChIJWxu7E9NTa4gRd7nXjs-NUt8,4,331,park
Cedar Point,Cedar Point,"1 Cedar Point Dr, Sandusky, OH 44870, United States",ChIJt_YJNEVEOogRp3VYcxU9Da4,4.6,45921,amusement_park
Santa’s Village Amusement & Water Park,Santa’s Village Amusement & Water Park,"601 Dundee Ave, East Dundee, IL 60118, United States",ChIJkbOqwTsPD4gRbgvrDzlU_m0,4.5,2751,amusement_park
The Waterpark,Karst Farm Park splash pad,"Bloomington, IN 47403, United States",ChIJtRxbzdhdbIgRSZTgm-1fvao,5,5,amusement_park
Wildwater Adventure,Wildwater Adventure,"4750 Whitehall Rd, Muskegon, MI 49445, United States",ChIJU1ojLKzZG4gRpx8hwb-4SHw,4.5,52,amusement_park
Gallery 924,Gallery 924,"924 N Pennsylvania St, Indianapolis, IN 46204, United States",ChIJcQ1-FMJQa4gRQwb0sCV2H7s,4.9,19,art_gallery
Gallery Two,Gallery Two,"1332 N Illinois St, Indianapolis, IN 46202, United States",ChIJC0HPp9xQa4gRADAz1C4FNj8,4,1,art_gallery
City Gallery,City Gallery,"1505 N Delaware St, Indianapolis, IN 46202, United States",ChIJGRHnP-dQa4gRjMY6yyYAxyA,3.7,3,art_gallery
Full Circle Nine Gallery,Full Circle Nine Gallery,"Circle City Industrial Complex, 1125 E Brookside Ave B21, Indianapolis, IN 46202, United States",ChIJtRASk_dQa4gRGobeG3ijMcY,5,3,art_gallery
Hillside Art Center,Hillside Art Center,"1145 E 22nd St Suite #104, Indianapolis, IN 46202, United States",ChIJI8yk-UFRa4gRLwswkReO9bE,0,0,art_gallery
Franklin Barry Gallery,Franklin Barry Gallery,"617 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJ8Yi37-xQa4gR9UcGn4ypdHA,0,0,art_gallery
Constance Art,Constance Art,"1060 N Capitol Ave C-360, Indianapolis, IN 46204, United States",ChIJMUik-cRQa4gRM50oWQLH9_k,0,0,art_gallery
Fine Estate Art,Fine Estate Art,"2158 N Talbott St, Indianapolis, IN 46202, United States",ChIJiUIygnhRa4gRPhFqatpwHII,5,2,art_gallery
Studio Alchemy LLC,Studio Alchemy LLC,"1116 E North St, Indianapolis, IN 46202, United States",ChIJp5WVn7tRa4gRvUgMEMt4Rfg,5,5,art_gallery
Shaun M. Niles Gallery & Studios,Shaun M. Niles Gallery & Studios,"1125 E Brookside Ave Suite S26, Indianapolis, IN 46202, United States",ChIJTy_6pWpRa4gRIZxkPAQ4euE,0,0,art_gallery
"Meridian Street Gallery, LLC","Meridian Street Gallery, LLC","320 N Meridian St, Indianapolis, IN 46204, United States",ChIJE9GjGb9Qa4gRMBj-dqpnfgg,0,0,art_gallery
the art of wendy franklin,the art of wendy franklin,"212 W 10th St A330, Indianapolis, IN 46202, United States",ChIJ6yniUsRQa4gReO7PjyvyEZU,0,0,art_gallery
RE:PUBLIC,Republic Services Hoosier Transfer Station,"6660 IN-37, Bloomington, IN 47403, United States",ChIJIdA_4PRpbIgRGp2FyrYPwx8,5,5,point_of_interest
Long-Sharp Gallery,Long-Sharp Gallery,"1 N Illinois St suite a, Indianapolis, IN 46204, United States",ChIJ7ykCbLxQa4gRTBoU5MIUVFs,4.9,46,art_gallery
Ccic,Ccic,"E Brookside Ave, Indianapolis, IN 46201, United States",ChIJQcf87PdQa4gRMFuwojezOh8,4.8,6,art_gallery
